author,date,comment
Chris Carter,2019-11-08T00:00:00.000Z,"The heart and soul of Disco Elysium is stumbling through success, which has a certain charm to it. Sometimes that road is bumpy and restricted, but the fluff behind those bumps is at least interesting."
Richard Scott-Jones,2019-11-08T00:00:00.000Z,"An utterly original RPG that sets new genre standards for exploration and conversation systems, and a brilliantly written tragicomedy about our inability to release the linchpins of our identity. Even when they hurt us.Richard Scott-Jones"
Jason Schreier,2019-11-08T00:00:00.000Z,There’s unexpected joy in the little moments of Disco Elysium
Leo Faierman,2019-11-07T00:00:00.000Z,"Disco Elysium is an exquisitely-written RPG of external and internal turmoil, political unrest, and self-destruction, packaged into a detective noir."
Víctor Manuel Martínez García,2019-11-06T00:00:00.000Z,"The best RPG in years, Disco Elysium is the kind of game that makes you want more from all the other games --a groundbreaking and absolutely essential masterpiece."
Callum Bowen,2019-11-06T00:00:00.000Z,"I fairly enjoyed Disco Elysium. Don’t get me wrong, it’s a very impressive game in its deep approach to role-playing but I found it extremely text-heavy and with no combat, was for me at times quite mundane. Disco Elysium is a very well written RPG, with deep conversations and an intriguing city that will make you want to make sure you are constantly on top of all things regarding your investigation. Whether that be talking and then re-talking to characters to see if you’ve unlocked some new dialogue to extend the investigation, or whether you’re constantly roaming around Revachol making sure you haven’t missed out on any new areas to look into, I just felt it was a lot of slow grinding and to bridge that with a bit of an un-motivating story, it didn’t keep me wanting to play all the time.  Politics play a huge part in the story and I kind of got the feeling that as we have enough politics in the world right now what with BREXIT, that having it within Disco Elysium it’s got on my nerves a little. I am making Disco Elysium sound like a chore of a game, but I was, for the most part, enjoying it.  Disco Elysium is currently £34.99 on Steam.

I am awarding Disco Elysium a Thumb Culture Silver Award!"
Alessandro Alosi,2019-11-06T00:00:00.000Z," Disco Elysium is a little great masterpiece that, due to slow gameplay and its impressive quantity and quality of dialogues, cannot be appreciated by everyone. Unfortunately for them, of course."
Mark Steighner,2019-11-05T00:00:00.000Z,"Disco Elysium deserves applause for having a singular vision and generally bringing it to fruition through its art, writing, setting, characters and gameplay mechanics which suggest the heyday of classic isometric RPGs."
Jake Hill,2019-11-05T00:00:00.000Z,"The world is not our own, but the fantasy of it allows the game to dig really deep, and I considered political views I hadn’t had to confront in years."
Chris Brown,2019-11-05T00:00:00.000Z,"Disco Elysium is one of the most interesting games we've seen in decades in terms of its themes and writing. A conversation heavy investigative RPG that leans very heavily on the genre's pen and paper roots. We've not seen this type of RPG in quite some time, and certainly not one as well executed as this. If you like your RPG's densely worded I think you'll find a lot to like here."
Claudio Cugliandro,2019-11-04T00:00:00.000Z,"ZA / UM, authors of Disco Elysium, showed great courage in not pretending to revolutionize a genre, but in dedicating themselves body and soul to overcoming their limits by exploiting their merits."
Sean Colleli,2018-08-29T04:00:00.000Z,"Like Limbo, Inside is short, mechanically addictive and emotionally haunting. It's the perfect addition to the Switch's growing library of now-portable indie hits."
Ville Polvela,2018-08-23T04:00:00.000Z,"""Visually stunning, forces you to think about things outside the game."""
Jamie Ward,2018-08-13T04:00:00.000Z,"If you loved Limbo then do not hesitate, just grab your Switch and buy Inside. For such a simple game, it is remarkable how much variation there is. Puzzles are expertly thought-out, the atmosphere is top-notch and its crammed full of memorable moments. It’s a stunning but desolate adventure that I urge you to try out. Even though it’s a short experience, it makes you consider what you have just gone through long after completion. It is one of the standout games in the Switch’s ever-growing library."
Ricky da Conceição,2018-08-12T00:00:00.000Z,"Inside is a technical marvel, and a game seemingly pieced together from the shared dreams of Franz Kafka and George Orwell. It’s a rare game that transcends a genre, and for a game where not a single word is spoken, Inside has plenty on its mind."
Vitor Carvalho,2018-07-31T04:00:00.000Z,"INSIDE brings another 2D platformer with puzzles to the Nintendo Switch catalogue but this is a game that clearly stands out on its own merits, thanks to its marvelous art style that suits it perfectly, to its high quality puzzles and to an overall experience that is challenging and long-lasting enough to be appreciated by all its players."
Evan Rowe,2018-07-26T04:00:00.000Z,"INSIDE is still the same excellent game from 2016, now released on the Switch for convenience, portability, and the potential to reach a whole new audience. It is a must-play experience that feels right at home on Switch."
Kirstie Summers,2018-07-25T04:00:00.000Z,Inside is a side-scroller with creative puzzles punctuated by a thrillingly tangible sense of tension.
Jakub Smolak,2018-07-24T00:00:00.000Z,"Inside seems to be made for a console like the Switch. Keeping the screen in front of our eyes, we are one hundred percent absorbed in what is happening on it, thanks to which the game is even more addictive and has an even more pronounced effect on emotions."
Francesca Sirtori,2018-07-21T04:00:00.000Z,"Inside does not lose any of its peculiar features in this version, showing the best of the gameplay both on portable console and through the porting on TV. This amazing indie game shows its incredible dystopic narration, which has not lost its brilliance and emotions after two years of its first release."
Andreas Salmen,2018-07-18T04:00:00.000Z,"With a rich atmosphere, solid puzzles, good platforming, and a story that unravels in your mind as you play Inside is one of indie gaming's best titles. It's short and sweet, and it should be experienced by everyone who loves atmospheric and dystopian narratives."
Filipe Da Silva Barbosa,2018-07-18T04:00:00.000Z,"In 2016, Playdead has delivered a masterpiece of a game to the world. Most accomplished and thrilling than Limbo, Inside can now be enjoyed everywhere on the Nintendo Switch. Basically, it's the same game, which is certainly not a fault. We're now anticipating what will come next from the brilliant minds of the danish studio."
Stephen del Prado,2018-07-15T04:00:00.000Z,"However, for those in a situation like myself who missed its initial launch and are playing indie catch-up, Inside is the type of short but gratifying experience that the Switch is perfect for delivering."
Toby Berger,2018-07-13T04:00:00.000Z,"Playdead's Inside is a masterpiece from beginning to end, and its Switch port is as good as you could hope for. It's another must-play title on Nintendo's hybrid, and is unlike anything I've ever played before."
Leo Stevenson,2018-07-11T04:00:00.000Z,"INSIDE is an absolutely incredible achievement in art, design and storytelling and comes highly recommended for any Switch ower’s library"
Sean Warhurst,2018-07-11T04:00:00.000Z,"Even if players only progress as far as 'I don't get it', playing Inside—and stepping outside of that comfort zone—will leave you changed, even if only a little, on the inside."
Dennis Stephens,2018-07-11T00:00:00.000Z,Inside is another amazing game from Playdead and I'll be picking up everything they have to offer in the future.
Andy Hoover,2018-07-06T04:00:00.000Z,Inside is a good game bordering on great.
Jon Mundy,2018-07-05T04:00:00.000Z,"Inside is a grimly beautiful platform-puzzler that, while brief, is packed full of jaw-dropping highlights. While its dark tone won't be for everyone, it's all been executed brilliantly, with gently taxing physics-based conundrums woven into a haunting wordless narrative."
Grady Penna,2018-07-04T04:00:00.000Z,INSIDE is still a deeply thought-provoking experience with a mystery that begs to be explored and is faithfully ported to the Switch.
Mirco Kämpfer,2018-07-04T04:00:00.000Z,"Enormously atmospheric puzzle adventure with great graphic style, which captivates to the end - even on the Nintendo Switch."
Albert Lichi,2018-07-03T04:00:00.000Z,It always feels like Playdead could have done a bit more with the gameplay by making it longer and having more complexity to some of the puzzles. Most people will feel completely bewildered when it is all over.
Álvaro Alonso,2018-07-03T04:00:00.000Z,"It doesn't matter when or where you play INSIDE: it will always be a masterpiece. Switch's portability makes this version one to be taken into account if you've never played it before. And if you love Playdead's game, the ability to play it wherever you want is tempting, to say the least."
Steve Wright,2018-07-02T04:00:00.000Z,"Playdead has greatly improved how it delivers a story, but hasn't moved away from ambiguity. The latter three-quarters of Inside cheapens the otherwise refined package, only saved because the studio is the undisputed master of horrific puzzles. Ending aside, it's definitely worth a look."
Vincent Bystry,2018-06-29T04:00:00.000Z,"While the game is short, the journey is worth it."
Scott Polhemus,2018-06-29T04:00:00.000Z,"There are secrets to be found throughout the journey in order to unlock an alternate ending, so don't be afraid to fight the constant urge to move right toward the end. Sometimes, it's wise to try going left. Every so often you come across a game worthy of adding to the endless argument, “Are video games art?” INSIDE is one such game."
Ryan McCaffrey,2018-06-28T04:00:00.000Z,"Inside is a 2D puzzle platformer that builds upon what made Limbo great, and in fact builds something greater."
Matt Jordan,2018-06-24T04:00:00.000Z,"INSIDE is a game that requires a player who doesn’t learn as they go along. It is a well-made game from a talented young studio, but save for the final moments has little to wow the player after the first half."
Dave Gardner,2017-10-26T04:00:00.000Z,"There are very few games that will provoke as much thought after you walk away from the adventure. I genuinely found myself asking “What did I just experience?” as the credits rolled. Graphically the game is gorgeous and the controls snappy and intuitive. Inside is a triumph of both storytelling and game design, what it sets out to achieve as a video game it most certainly achieves. My only criticism would be that after completing the game there is no real reason to go back (unless you didn’t get all the Achievements/Trophies) and this is only a negative because I enjoyed the game so much."
Richard Bouvier,2017-10-02T04:00:00.000Z,Do yourself the favor and buy Inside and play it for yourself. As far as indy titles goes it's a masterpiece. It's on the same plateau as Journey for me in that regard. Both games are absolutely phenomenal and both will stick in your head. The only difference is at the end of Journey you'll feel pretty good about the adventure you took and have a good idea about what it all meant. You don't get that with Inside. Instead I have been scratching my head ever since and to this day I still can't piece it all together. All I know is it is one of the most memorable games I've played in the last few years.
Rebecca Stow,2017-02-02T05:00:00.000Z,"The first thing that strikes you about 2D puzzle platformer INSIDE is its visuals. The eerie dystopian environment and muted colour pallet is unsettling, and immediately haunting. Utilising minimalist white, grey and black tones, INSIDE somehow manages to be both melancholic and powerfully alluring – it’s impossible to look away."
Giulia Garassino,2016-11-25T05:00:00.000Z,"Inside manages to present an entire world, to evoke an entire universe, even without the use of any word, simply by concretizing the space around the protagonist."
Isaac Coleman,2016-11-07T05:00:00.000Z,"In the end, I’ve no doubt INSIDE will end up being one of the most memorable experiences I’ve played this year.  Its puzzles are expertly designed, its presentation staggeringly beautiful.  Personally, I’m not sure its four hours of content are worth the $20 asking price, especially for an ending that leaves you with more questions than answers."
Brian Dumlao,2016-09-12T04:00:00.000Z,"Inside shows that Playdead has a knack for the short but powerful puzzle-platformer. The puzzles are logical and challenging, while the story is told well without a reliance on the usual things like dialogue and cut scenes. The balance between both creates a game that has a ton of memorable moments, and the flow is smooth enough that you're compelled to keep playing until you reach the thought-provoking ending. With a presentation that adds greatly to the narrative, Inside is well worth your time."
Daniel Ryan,2016-09-11T04:00:00.000Z,Inside is the kind of game that hooks you within the first minutes with a ‘Show Don’t Tell’ style of storytelling.
Randy Kalista,2016-09-09T04:00:00.000Z,"This is a game that will still be talked about five years from now—even 10 years from now. Inside was pretty much three hours of me shaking my head, clutching my chest, and realizing every few minutes that my mouth was hanging wide open. It’s an analog science-fiction thriller, and so good that it’s impossible to improve upon. It’ll get right inside you."
Dakoda Barker,2016-09-08T04:00:00.000Z,Inside is a masterclass in minimalist design. Enthralling and enjoyable.
Gareth Brading,2020-05-18T00:00:00.000Z,"I can definitely see Dreams having a long lifetime, especially if a PS5 version is swiftly released after the new console. Being able to dive in and try out what’s new and exciting in Dream Surfing is always great, as is slowly building up your skills in Dream Shaping. I don’t think I’ll ever to able to create a masterpiece of my own, but I admire Dreams greatly for empowering those people who can."
Alireza Razmjoei,2020-04-20T00:00:00.000Z,Dreams is a reflection of you. A unique platform to make dreams and ideas come to reality and a huge achievement for Media Molecule that made something beyond a game
Henry Buehler,2020-03-31T00:00:00.000Z,Dreams is an incredible experience that's constantly growing and making the effort to include the player.
Alexander Kremer,2020-03-25T00:00:00.000Z,"With Dreams, Media Molecule has set itself a monument in the gaming scene. The story is quite manageable in scope, but it offers the perfect insight into what is possible with the editor of Dreams. With a little bit of dedication and creativity, everyone can realize their own game dreams. With all the community features, the great remix functionality and the community jams, I see no reason why Dreams shouldn't last for many years to come. Media Molecule has already confirmed that Dreams will run on the PS5, so I will probably be able to admire my creations and those of many other players in the next generation."
Carri Grant Raffy Abenoja,2020-03-20T00:00:00.000Z,"It’s crazy to think that everything you see and hear in Dreams is made from scratch, entirely by the software’s engine. Now imagine if a full-fledged video game dev team actually spends time to make a game here. The possibilities? Limitless."
Sarina Schlosser,2020-03-17T00:00:00.000Z,"Dreams is not just a game, but a huge collection of great projects, objects and creative ideas. With a wealth of objects and tools, the extensive editor gives you the ability to make your ideas, dreams and visions come true. Whether you're a dream surfer or a dream shaper, you'll get plenty of stuff to let your imagination run wild. I am incredibly curious about how Dreams will develop in the future and which worlds we will explore.

After a bit of patience and getting used to the world, there are no limits to your fun and creativity. An update with support for PSVR is already being planned and Dreams should also be playable on PS5.

Maybe we will be allowed to explore your created world soon."
Lukáš Lindner,2020-03-12T00:00:00.000Z,"Dreams brings together a set of tools for all creators regardless of their particular discipline. It is also a library of lessons teaching you how to work with these tools. Thanks to thematic jams it motivates you to create and gives you space to share your creations and collaborate with others. This has not been done before and Media Molecule truly deserves the perfect score, because Dreams in not only entertainment - it also gives the opportunity for more entertainment to be created."
Jake Su,2020-03-09T00:00:00.000Z,"Creating, sharing, helping, and enjoying, Dreams brings an idealistic vision into life that is simply unlike anything seen before in video games."
Jeanette Kanitz,2020-03-09T00:00:00.000Z,"With ""Dreams"", Media Molecule has created a true masterpiece among game construction kits, which opens up undreamt-of possibilities for players and proves to be a truly dreamlike experience. In contrast to simplified game kits, the comprehensive editor allows players to cross the boundaries of individual genres and create almost picturesque settings and cinematic game sequences. However, beginners should first invest a little time to become fully familiar with the complex menus and the individual mechanisms of ""Dreams"". Passionate game developers can draw from a wealth of inspiring dreams and can implement comprehensive game projects in cooperation with friends and the community. In ""Dreams"", passionate creative minds find a game construction kit that sets completely new standards and makes virtually anything possible in dream creation."
Raphael Cano Felix,2020-03-06T00:00:00.000Z,"But that's why we're also hesitant to recommend Dreams to exactly everyone. The novelty's pleasure settles quickly for those who do not have time to mecca with the dream project full time. After a few days, we've seen all the Super Mario clones available. And then we can see that exactly everyone is in production. The ""Beta feeling"" permeates most of what is uploaded. Although creators have mastered the tools much better than at the early access release."
Julio Fuertes,2020-03-06T00:00:00.000Z,"If you really want to unleash all your creativity, get rid of prejudices and arm yourself with time and patience, because the road is not easy. But the reward, the sweet dopamine that will irrigate your neurotransmitters when you see a new “Like” in your dream, well deserves your dedication. Because life is a dream, and dreams are dreams."
Paul James,2020-03-05T00:00:00.000Z,"A playing experience like no other, with Dream Shaping tools that revolutionise the way we need to look at game development. Dreams is something truly special."
محسن وزیری,2020-03-03T00:00:00.000Z,If it's a game that can be suggested to everyone — whether it's a gamer or not — it's Dreams.
Ryan Rodríguez,2020-03-03T00:00:00.000Z,"For a lot of people, this is not a must-have game. For others, Media Molecule new game show us what the PS4 is capable of and also that is possible to create a game that creates games. Dreams show you the basics of the tools and then let the user create its wildest... Dreams."
Tanner Dedmon,2020-03-02T00:00:00.000Z,"Dreams seems like a niche game from a first glance, but it's impossible to truly appreciate what it has to offer until you see what it has to offer yourself. It feels like an arcade with unlimited plays for everyone and a museum encompassing every interest all wrapped into one game. Whether you're there to build or just to look around, Dreams isn't a game to miss."
Rubén Rionegro,2020-03-02T00:00:00.000Z,"Dreams is not just a video game, but it transcends the concept of the game and becomes something that has never been seen before. The opportunities for creation are unlimited and all kinds of users can find their place here. It's not a game for everyone, in fact it's only for a few, but anyone who wants to knock on its doors will find the most welcoming of homes"
Igor Chrzanowski,2020-03-01T00:00:00.000Z,"Dreams is so good that I miss words. If you dream of creating games, music or animations, you can confidently realize them here. However, if you don't feel like a Dreamer, you'll spend a lot of time playing with other players' dreams anyway."
Fran Soto,2020-02-27T00:00:00.000Z,"Dreams is not a traditional game, but rather constantly changing innovative content creation software for PlayStation 4."
Paul Tamburro,2020-02-27T00:00:00.000Z,"There really is nothing else quite like Dreams. Super Mario Maker may make you feel like Nintendo for a few hours, while LittleBigPlanet will let you create a ramshackle platformer or two, but Dreams will grant you the opportunity to create virtually anything you set your mind to. From RPGs to puzzles, to sports games and first-person shooters, this is an endlessly imaginative toy box to open up and play with."
Andreas Salmen,2020-02-27T00:00:00.000Z,"Dreams is a social network, a content platform, and a creative suite all in one. It's probably the hardest game to review, but it is easy to fall in love with it. It is incredibly polished and does exactly what it promised to."
Kinsey Danzis,2020-02-27T00:00:00.000Z,"It didn’t matter that I’d never designed a game before, didn’t matter that I’m not much of an artist, didn’t matter that I can only play music and not compose it. From the very beginning, I felt welcomed by Dreams."
Guillermo Navarrete,2020-02-26T00:00:00.000Z,Dreams provides creation tools for a certain type of gamer to create a community that we will surely talk about for years.
A.J. Maciejewski,2020-02-26T00:00:00.000Z,"Dreams is such an astounding creative experience that I highly recommend it to every PS4 owner. Even if you're uncreative and cynical, it's difficult not to appreciate what Dreams and its community of creators have to offer."
Tomáš Kuník,2020-02-26T00:00:00.000Z,Another unique title from Media Molecule boosts your creativity. Developers count on creations of community.
Harold Goldberg,2020-02-25T00:00:00.000Z,"After three games starring the cute, black-eyed burlap doll Sackboy and a mammoth 11 million user-created levels, Media Molecule, the developer behind LittleBigPlanet, yearned to take community-based game making to the next level. It took seven long years, but Dreams is a far more visually wondrous example of the “play, create, share” mantra from the U.K.-based, Sony-owned studio."
Cade Onder,2020-02-25T00:00:00.000Z,"Dreams is not only a technical wonder that is borderline sorcery but it's a revolutionary PS4 exclusive. It's a wholesome space to create, share, and play where people are constantly setting new standards, pushing new limits, and blowing your mind. Media Molecule has made something that should've been impossible work and work very well.Simply put, Dreams makes you believe in the magic of video games."
Paul Jennette,2020-02-25T00:00:00.000Z,"In short, Dreams has been an honor to play. It’s a console-based creative suite unlike any that’s come before it. It has spectacular visual options, user-friendly controls, and literally endless possibilities."
Nathan Misa,2020-02-25T00:00:00.000Z,"An intuitive and ingenious user-friendly game creation engine that truly embodies Media Molecule's mantra of Play, Create, Share."
سندس الخباز,2020-02-25T00:00:00.000Z,"Imagination is the limit, literally!"
Dustin Spencer,2020-02-24T00:00:00.000Z,Dreams offers plenty of amazing games for those just looking to enjoy someone else's creativity and a powerful suite of tools for creators to show off their skills
Rob Gordon,2020-02-24T00:00:00.000Z,An incredibly ambitious creation tool that holds the potential for near-unlimited experiences - providing its player base keeps up pace.
Gabriel Moss,2020-02-24T00:00:00.000Z,"On one hand, Dreams is a bottomless bag filled with toys, vignettes, and indie games. On the other, Dreams is a must-own for anyone who's ever been curious about game design."
Artura Dawn,2022-01-08T00:00:00.000Z,"Horizon Zero Dawn truly expresses how videogames nowadays are an art form, if not only through its visuals and storytelling, then certainly through its expertly incorporated combat. A glee-filled experience through and through."
Greg Wheeler,2021-09-02T00:00:00.000Z,"The quality of the worldbuilding, storytelling and gameplay combine to create a cocktail of heady brilliance; Horizon Zero Dawn is the gold standard for how open world games should be made."
Sammy Barker,2021-04-19T00:00:00.000Z,"Debuts don't get much stronger than Horizon Zero Dawn. Guerrilla Games' latest borrows liberally from a variety of different sources, and yet it leverages these fundamentals to forge an experience that's daringly unique. The main quest tires a little towards the end, and the writing never hits the same highs as The Witcher 3 – but the tactical action stands leagues ahead of what we've come to expect from the genre, and the presentation is quite simply unmatched."
James Wright,2019-07-04T04:00:00.000Z,"Previously we'd have said that Uncharted 4: A Thief's End was unequivocally the greatest game you'd ever see on the PS4. But now, thanks to the extra processing power of PS4 Pro, Horizon Zero Dawn probably edges it. Hell, it even has a fantastic photo mode thrown in just for good measure that can make those breathtaking vistas look all the more impressive."
Gonçalo Nolasco,2018-12-13T05:00:00.000Z,"Horizon Zero Dawn is an impressive entry this generation. The PS4's capabilities are pushed to its maximum, accompanied by an excellent writing and game design, Guerrilla Games' newest title shines with its gameplay and worldbuilding, even though there's some fixes to be made, especially on quests and the main story. With a sequel probably coming on the PS5, the IP's future looks promising."
Ovidio Fuentes,2017-09-10T04:00:00.000Z,"Horizon Zero Dawn is one of the most beautiful and dynamic worlds you can currently play in. The merger of the technological and nature is simply incredible. The story doesn’t let you put down your controller. It’s gameplay is fun, diverse and challenging. Great start to a new fantastic franchise."
Leif Rey Bornales,2017-05-03T04:00:00.000Z,"Overall, Horizon Zero Dawn made me a believer in new and innovative games. It doesn't  mean that a game is new that it cannot be something high-caliber. And Horizon Zero Dawn proved this to me. Playstation and its first-party games have never failed to deliver a blockbuster experience, and Horizon Zero Dawn is up there on that list."
Matthew Stephen Gatchalian,2017-05-03T04:00:00.000Z,"Horizon Zero Dawn manages to turn all the good qualities from well-known titles into an enjoyable and finely polished experience. However, it doesn’t provide anything new for those burned out from playing triple-A games."
Joel Gralton,2017-05-02T04:00:00.000Z,Horizon: Zero dawn was an absolute joy to play through and I really hope Guerrilla Games decides to make this their core IP. I want to spend more time in this world even after obtaining the platinum trophy. The core gameplay loop is incredibly addictive. Hopefully a story expansion comes soon just so I can dive back into this world.
David Parker,2017-05-02T04:00:00.000Z,"Horizon: Zero Dawn is a triumph with a handful of minor flaws. Exciting combat, an engaging new world to explore, and a likable, confident protagonist combine for a rewarding experience. While I don’t hasten to call this a system seller, I do think that all PS4 owners should give this game a serious look. With such a strong original property, and an exciting fusion of so many quality game elements, it’s clear that Guerrilla Games has a great deal more to offer than reliance on the Killzone series, and I’m excited to see what they’ll be working on next."
Chris Davis,2017-04-15T04:00:00.000Z,"Horizon Zero Dawn hits the trifecta. Incredible combat, story, and characters. It’s also polished and doesn’t outstay it’s welcome. I can’t imagine I’ll play it again anytime soon, but the fifty hours I spent with Horizon were some of the best I’ve ever had."
Darius Kubisch,2017-04-11T04:00:00.000Z,"Horizon: Zero Dawn convinces with a fresh scenario with an interesting story and the fantastically staged battles against machines. In addition, Aloy is a new hero and the bombastic graphics of the Decima engine will enchant you throughout the entire game. Gladly more of it."
Nicholas Catto,2017-04-08T04:00:00.000Z,"Guerilla Games has outdone themselves with Horizon: Zero Dawn. Whether you’re enjoying the lush, vibrant open world setting, or soaking in every moment of the story, you’ll never stop being entertained. The combat is deep and intuitive, even with the minor glitches I encountered. Aloy adds a strong new character to Sonys already deep roster."
Daniel Brennan,2017-03-30T04:00:00.000Z,Horizon Zero Dawn is nothing short of a masterpiece.
Bryan Clutter,2017-03-30T04:00:00.000Z,"Horizon Zero Dawn is a game that almost every owner of the PlayStation 4 should experience sooner or later. It doesn’t just appeal to roleplaying game fans or action adventure enthusiasts. This is a game that almost everyone can enjoy in some fashion, and it shows with how well the game has been performing since it’s release one month ago. This is an impressive piece of art for both Sony and Guerrilla Games, and we simply cannot wait to see what is coming next."
Mohamed Ashmawy,2017-03-26T04:00:00.000Z,"Horizon Zero Dawn is a new Benchmark for Sony's Exclusives, we have a new Face for Sony Games which is Aloy, and just Like Nathan Drake and Kratos also Joel and Ellie she is gonna be the new hero for PlayStation Brand, The Game Beautiful Design isn't only the main selling point but the incredible work Guerrilla Studio did with bringing new IP Different than Killzone with great quality is the real surprise"
Justin Oneil,2017-03-25T04:00:00.000Z,Horizon: Zero Dawn is a testament to the hard work and passion of every individual at Guerrilla Games.
Andrew Otton,2017-03-24T04:00:00.000Z,Horizon Zero Dawn is great game design wrapped up in one of the best AAA packages put out to date.
Matt Gardner,2017-03-22T04:00:00.000Z,"<iframe src=""https://www.youtube.com/embed/L5V0BTRtLRc"" frameborder=""0"" allowfullscreen></iframe>

Horizon Zero Dawn is a brilliant, beautiful and bold action-adventure. With this expansive and ambitious game, Guerrilla finally have a masterpiece to their name, and, in Aloy, a PlayStation legend in the making."
Domenico Musicò,2017-03-22T04:00:00.000Z,"Horizon Zero Dawn is one of the best open world games of this generation, a really solid experience and a great piece of work from Guerrilla."
Dan Goad,2017-03-22T04:00:00.000Z,"Horizon Zero Dawn is one of the best games of this generation. Whilst it borrows elements from other games, it melds them into a seamless experience that sets a new bar for open world games."
Josh Pedroza,2017-03-22T00:00:00.000Z,"Considering this is Guerrilla Games' first open-world title, I must say I’m impressed with what they gave us. Using the full potential of the Decima engine, Guerilla Games was able to show the true power of the Playstation 4."
Alex Quevedo,2017-03-21T04:00:00.000Z,"There was a point while playing through Horizon: Zero Dawn where I questioned how much longer I needed to be at social events because, you know, time in Aloy’s shoes. Or, rather, I skipped out on events entirely so I can play the game. Other times, it was that “well, I could do just one more quest…” feeling. Early on, that’s how I knew this game was worth it. It sucks you in for all the right reasons but won’t overly dominate your life like some other games can (I didn’t cancel that many plans, thank you)."
Matthew Finneman,2017-03-21T04:00:00.000Z,"A shining example of how to debut a new IP, Horizon: Zero Dawn comes out swinging and doesn’t let you go until the credits roll. Deep, customizable combat perfectly complements the engaging story."
Alexandra Collinson,2017-03-20T04:00:00.000Z,"All in all Horizon is a fun game, there is loads of content and the story is engaging. However, there is a lack of personality in the side missions as they all follow the same tropes and become slightly boring. The best thing about Horizon is the world in which you play."
Jordan Rees,2017-03-18T04:00:00.000Z,"Putting a few very minor (and no doubt subjective) niggles aside – I’d argue that Horizon is an unreserved triumph, and a watershed moment for this generation of consoles in terms of maturing the medium. As Nathan Drake settles into a potentially permanent retirement, Sony has done well to pass on the baton. Whether or not we see Aloy again (and I have a strong suspicion that we will…) – Horizon is, thankfully, here to stay."
Enrico Pusceddu,2017-03-16T04:00:00.000Z,"We strongly recommend Horizon Zero Dawn to all of our readers. PlayStation4 may be content with this title, which greatly affects the number of previews that it continues to collect with great care and dedication."
Nicholas Ransbottom,2017-03-16T04:00:00.000Z,"Horizon Zero Dawn isn't without its issues, but it's a thoroughly enjoyable game that belongs in every PS4 owner's library."
Anthony Preece,2017-03-15T04:00:00.000Z,"Horizon: Zero Dawn is one of those rare games that actually feels like a AAA title. The level of polish and care that has gone into the game echoes throughout. It's an incredible journey worth undertaking, worth every moment you spend with the game."
Damien Chambers,2017-03-15T04:00:00.000Z,"Every decade or so, a game comes along that sets a new high bar of achievement in the industry. These games stand the test of time and delight audiences for years to come, even if they never receive the sequel they deserve. Horizon: Zero Dawn is one of these games and it has rightly earned its place among the pantheon of some of the greatest games of all time."
Leo Stevenson,2017-03-13T04:00:00.000Z,"Horizon is a better game than BotW and while maybe not as ‘important,’ Horizon is the game that will have a lasting, personal impression."
Chris Wray,2017-03-12T05:00:00.000Z,"Horizon Zero Dawn is a pure sign of what can be completed with an exceptionally designed open world. Not only that, it has exceptional characterisation and a sincere story that doesn't shoehorn elements, allowing for the organic growth of characters. This is a game that I can barely find any faults with, except borrowing some elements from other open world games. Even so, it made each and every element its own in one of the best games to date."
Drew Hurley,2017-03-12T05:00:00.000Z,"There are exclusive titles on every console that epitomise the system; titles that are indelibly linked with that hardware through future generations. Adventures like The Last of Us, like Kingdom Hearts, like GoldenEye and Super Mario 64. Horizon: Zero Dawn stands worthily alongside these iconic releases. The story is enthralling, the open world is lush and inviting, the gameplay extremely addictive, and the sheer scale of it all is amazingly vast. Simply put, this is a phenomenal game."
James Wright (Impulsegamer),2017-03-11T05:00:00.000Z,"There’s been much hype surrounding Horizon Zero Dawn and thankfully it has delivered in more ways than one. It boasts a very likeable and interesting protagonist and the story behind Horizon Zero Dawn is one that is filled with mystery and intrigue. Of course, it’s all about the gameplay and Guerrilla should be commended in creating such a fluid and dynamic game as you explore this post-apocalyptic world 1000 years in the future that is filled with different cultures and even history which seems so real. Combat is fun and the missions are diverse and at the end of the day, Horizon Zero Dawn is a title that really raises the benchmark on the PlayStation 4."
Gary Alexander,2017-03-10T05:00:00.000Z,Horizon: Zero Dawn is an excellent robot hunting game. When you’re in the thick of fighting one of its fantastic robotic opponents it feels like one of the best games you’ve played all year.
Chris Button,2022-06-23T00:00:00.000Z,"Rogue Legacy 2 is the perfect sequel. It retains the core of what made the original fantastic, with every feature adding tremendously to the experience. Its cleverly revised class system adds near-limitless gameplay variety, which makes each attempt fun – even when you fail abysmally. This game is everything I wanted from the follow-up, and then some."
Jorge S Fernandez,2022-06-03T00:00:00.000Z,"In conclusion, while Rogue Legacy 2 is more of a refinement than a revolution, it nonetheless stands out as another must-have Roguelike, which is impressive given the ever-increasing supply of quality titles in the genre. Even if the plate is currently full, this is another tasty dish that is worth savoring when the craving comes calling again."
Drew Leachman,2022-06-01T00:00:00.000Z,"Rogue Legacy 2 is a fantastic game. It takes everything I loved about the first game, refines it, adds way more content, and keeps the gameplay just as tight and smooth. It’s a rogue-like that even non-fans of rogue-likes can warm up to. If you played the first game, this is a no-brainer. Even if you haven’t, you’ll have a great time here with a game jam-packed with content. I cannot suggest this one enough."
Eser Güven,2022-05-25T00:00:00.000Z,"This is the prime version of Rogue Legacy series; better, bigger and badder! Impossible not to fall in love with it."
